ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-04-25,2776.431142529462,1330.9695850820704,4714.109908226036,2776.431142529462,2776.431142529462,152.55415737120944,152.55415737120944,152.55415737120944,152.55415737120944,152.55415737120944,152.55415737120944,0.0,0.0,0.0,2928.985299900671
2022-04-26,2776.1157062095795,1130.320661074368,4289.456758188035,2776.1157062095795,2776.1157062095795,-67.66198722953166,-67.66198722953166,-67.66198722953166,-67.66198722953166,-67.66198722953166,-67.66198722953166,0.0,0.0,0.0,2708.4537189800476
2022-04-27,2775.800269889696,1150.335492249758,4478.195108898809,2775.800269889696,2775.800269889696,70.67056295072032,70.67056295072032,70.67056295072032,70.67056295072032,70.67056295072032,70.67056295072032,0.0,0.0,0.0,2846.4708328404167
2022-04-28,2775.4848335698134,1116.482997292388,4381.738741038652,2775.4848335698134,2775.4848335698134,-31.86231183741096,-31.86231183741096,-31.86231183741096,-31.86231183741096,-31.86231183741096,-31.86231183741096,0.0,0.0,0.0,2743.6225217324027
2022-04-29,2775.169397249931,967.5533261451048,4247.480243431179,2775.169397249931,2775.169397249931,-147.5850470409112,-147.5850470409112,-147.5850470409112,-147.5850470409112,-147.5850470409112,-147.5850470409112,0.0,0.0,0.0,2627.5843502090197
2022-04-30,2774.8539609300483,1107.7091284107178,4522.671870622551,2774.8539609300483,2774.8539609300483,18.33306392765384,18.33306392765384,18.33306392765384,18.33306392765384,18.33306392765384,18.33306392765384,0.0,0.0,0.0,2793.187024857702
2022-05-01,2774.538524610166,951.2022149154116,4323.320720326419,2774.538524610166,2774.538524610166,5.551561857901431,5.551561857901431,5.551561857901431,5.551561857901431,5.551561857901431,5.551561857901431,0.0,0.0,0.0,2780.0900864680675
2022-05-02,2774.223088290283,1215.738303559905,4632.067224304985,2774.223088290283,2774.223088290283,152.55415737146706,152.55415737146706,152.55415737146706,152.55415737146706,152.55415737146706,152.55415737146706,0.0,0.0,0.0,2926.7772456617504
2022-05-03,2773.9076519603327,1127.576313315765,4389.463463871814,2773.9076519603327,2773.9076519603327,-67.66198722945974,-67.66198722945974,-67.66198722945974,-67.66198722945974,-67.66198722945974,-67.66198722945974,0.0,0.0,0.0,2706.245664730873
2022-05-04,2773.5922156303823,1196.7368108199066,4494.9807480437985,2773.5922156303823,2773.5922156303823,70.6705629511517,70.6705629511517,70.6705629511517,70.6705629511517,70.6705629511517,70.6705629511517,0.0,0.0,0.0,2844.262778581534
